time,Depth,Y,X,salinity
UTC,m,,,PSU
2009-05-23T00:00:00Z,0,2000,2050,33.5159
2009-05-24T00:00:00Z,0,2000,2050,33.544834
2009-05-25T00:00:00Z,0,2000,2050,33.563644
2009-05-26T00:00:00Z,0,2000,2050,33.560417
2009-05-27T00:00:00Z,0,2000,2050,33.56113
2009-05-28T00:00:00Z,0,2000,2050,33.57182
2009-05-29T00:00:00Z,0,2000,2050,33.55509
2009-05-30T00:00:00Z,0,2000,2050,33.54297
2009-05-31T00:00:00Z,0,2000,2050,33.52377
2009-06-01T00:00:00Z,0,2000,2050,33.515354
2009-06-02T00:00:00Z,0,2000,2050,33.49584
2009-06-03T00:00:00Z,0,2000,2050,33.481754
2009-06-04T00:00:00Z,0,2000,2050,33.476818
2009-06-05T00:00:00Z,0,2000,2050,33.471996
2009-06-06T00:00:00Z,0,2000,2050,33.465218
2009-06-07T00:00:00Z,0,2000,2050,33.371967
2009-06-08T00:00:00Z,0,2000,2050,33.344254
2009-06-09T00:00:00Z,0,2000,2050,33.329914
2009-06-10T00:00:00Z,0,2000,2050,33.364487
2009-06-11T00:00:00Z,0,2000,2050,33.307407
2009-06-12T00:00:00Z,0,2000,2050,33.277107
2009-06-13T00:00:00Z,0,2000,2050,33.290756
2009-06-14T00:00:00Z,0,2000,2050,33.30541
2009-06-15T00:00:00Z,0,2000,2050,33.347496
2009-06-16T00:00:00Z,0,2000,2050,33.332436
2009-06-17T00:00:00Z,0,2000,2050,33.332443
2009-06-18T00:00:00Z,0,2000,2050,33.347343
2009-06-19T00:00:00Z,0,2000,2050,33.339825
2009-06-20T00:00:00Z,0,2000,2050,33.361378
2009-06-21T00:00:00Z,0,2000,2050,33.457947
2009-06-22T00:00:00Z,0,2000,2050,33.509937
2009-06-23T00:00:00Z,0,2000,2050,33.51421
2009-06-24T00:00:00Z,0,2000,2050,33.508896
2009-06-25T00:00:00Z,0,2000,2050,33.508053
2009-06-26T00:00:00Z,0,2000,2050,33.519848
2009-06-27T00:00:00Z,0,2000,2050,33.547478
2009-06-28T00:00:00Z,0,2000,2050,33.511925
2009-06-29T00:00:00Z,0,2000,2050,33.493793
2009-06-30T00:00:00Z,0,2000,2050,33.475483
2009-07-01T00:00:00Z,0,2000,2050,33.43734
2009-07-02T00:00:00Z,0,2000,2050,33.383003
2009-07-03T00:00:00Z,0,2000,2050,33.36168
2009-07-04T00:00:00Z,0,2000,2050,33.35918
2009-07-05T00:00:00Z,0,2000,2050,33.35941
2009-07-06T00:00:00Z,0,2000,2050,33.354836
2009-07-07T00:00:00Z,0,2000,2050,33.34046
2009-07-08T00:00:00Z,0,2000,2050,33.391483
2009-07-09T00:00:00Z,0,2000,2050,33.41903
2009-07-10T00:00:00Z,0,2000,2050,33.436016
